departure city,arrival city
Porto,Barcelona
Bucharest,Barcelona
Belgrade,Athens
Belgrade,Barcelona
Belgrade,Budapest
Belgrade,Amiens
Belgrade,Paris
Belgrade,Niš
Belgrade,Kazan
Belgrade,Saint Petersburg
Belgrade,Lisbon
Belgrade,Oslo
Belgrade,Moscow
Belgrade,Shkodër
Belgrade,Vienna
Belgrade,Warsaw
Belgrade,Zürich
Belfast,Alicante
Belfast,Birmingham
Belfast,Dunfermline
Belfast,Geneva
Bragança,Vila Real
Málaga,Bergen
Monza,Málaga
Alicante,Monza
Stockholm,Monza
Monza,Barcelona
Bristol,Monza
Amiens,Monza
Monza,Cagliari
Monza,Brussels
Monza,Iaşi
Monza,Porto
Monza,Bucharest
Pescara,Monza
Monza,Cosenza
Monza,Valencia
Belfast,Amsterdam
Belfast,Birmingham
Belfast,London
Belfast,London
Belfast,Liverpool
Belfast,Manchester
Birmingham,Málaga
Birmingham,Barcelona
Birmingham,Craiova
Birmingham,Porto
Birmingham,Bucharest
Birmingham,Poznań
Birmingham,Valencia
Bilbao,Arrecife
Bilbao,Amsterdam
Bilbao,Barcelona
Bilbao,Paris
Bilbao,London
Bilbao,Madrid
Bilbao,Munich
Bilbao,Porto
Gdańsk,Kolding
Bucharest,Kolding
Craiova,Bologna
Barcelona,Bordeaux
Southampton,Málaga
Bremen,Munich
Bari,Monza
Bari,Budapest
Bari,Brussels
Bari,Rome
Bari,Milan
Bari,Novara
Bari,Bucharest
Bari,Tirana
Bari,Turin
Bari,Venice
Bari,Verona
Bari,Warsaw
Bristol,Málaga
Alicante,Bristol
Bristol,Barcelona
Monza,Bristol
Grenoble,Bristol
Bristol,Porto
Bristol,Poznań
Málaga,Brussels
Barcelona,Brussels
Freiburg im Breisgau,Arrecife
Freiburg im Breisgau,Amsterdam
Freiburg im Breisgau,Paris
Freiburg im Breisgau,Catania
Freiburg im Breisgau,Munich
Freiburg im Breisgau,Bucharest
Freiburg im Breisgau,Pristina
Freiburg im Breisgau,Cosenza
Bratislava,Kaunas
Bratislava,London
Budapest,Málaga
Budapest,Stockholm
Budapest,Athens
Budapest,Barcelona
Budapest,Monza
Budapest,Birmingham
Budapest,Bologna
Budapest,Bristol
Budapest,Rome
Budapest,Brussels
Budapest,Catania
Budapest,Helsinki
Budapest,London
Budapest,London
Budapest,Madrid
Budapest,Marseille
Budapest,Novara
Budapest,Prague
Budapest,Warsaw
Amiens,Barcelona
Monza,Amiens
Amiens,Porto
Bydgoszcz,London
Trento,Kolding
Sète,Brussels
Paris,Málaga
Stockholm,Paris
Paris,Barcelona
Paris,Birmingham
Paris,Bologna
Paris,Bordeaux
Paris,Brussels
Paris,Gothenburg
Helsinki,Paris
Munich,Paris
Paris,Bucharest
Tromsø,Paris
Castellón de la Plana,Mönchengladbach
Saint Petersburg,Cherepovets
Chelyabinsk,Saint Petersburg
Moscow,Chelyabinsk
Chelyabinsk,Moscow
Sarandë,Athens
Cologne,Málaga
Cologne,Munich
Varna,Cologne
Chaniá,Athens
Brussels,Rome
Bucharest,Rome
Cluj-Napoca,Monza
Cluj-Napoca,Rome
London,Cluj-Napoca
Cluj-Napoca,Bucharest
Annecy,Birmingham
Copenhagen,Aalborg
Copenhagen,Aarhus
Copenhagen,Málaga
Copenhagen,Alicante
Copenhagen,Amsterdam
Copenhagen,Stockholm
Copenhagen,Budapest
Copenhagen,Trento
Copenhagen,Paris
Copenhagen,Cologne
Copenhagen,Faro
Copenhagen,Frankfurt
Copenhagen,Gdańsk
Copenhagen,Gothenburg
Copenhagen,Geneva
Copenhagen,Hamburg
Copenhagen,Helsinki
Copenhagen,Kraków
Copenhagen,Kaunas
Copenhagen,London
Copenhagen,Madrid
Copenhagen,Manchester
Copenhagen,Munich
Copenhagen,Porto
Copenhagen,Oslo
